timestamp,service,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-08-19T02:38:03.1848856+00:00,cortex-db-1,76.57%,705.9MiB / 7.605GiB,9.06%,7.07MB / 6.46MB,680MB / 1.78GB,31
2026-08-19T02:38:07.9516683+00:00,cortex-backend-1,65.34%,146MiB / 2GiB,7.13%,17.7MB / 49.7MB,1.8MB / 0B,10
2026-08-19T02:38:07.9516683+00:00,cortex-embedding-service-1,0.25%,586.8MiB / 3GiB,19.10%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:07.9516683+00:00,cortex-reranker-service-1,0.31%,1.227GiB / 7.605GiB,16.14%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:07.9516683+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:07.9516683+00:00,cortex-llm-gateway-1,0.22%,466.2MiB / 7.605GiB,5.99%,126kB / 15.7kB,269MB / 49.2kB,28
2026-08-19T02:38:07.9516683+00:00,cortex-redis-1,10.94%,32.09MiB / 7.605GiB,0.41%,38.4MB / 7.29MB,492MB / 46MB,8
2026-08-19T02:38:07.9516683+00:00,cortex-db-1,71.10%,708.2MiB / 7.605GiB,9.09%,9.36MB / 7.99MB,689MB / 1.79GB,31
2026-08-19T02:38:12.6391551+00:00,cortex-backend-1,70.20%,146.8MiB / 2GiB,7.17%,19.4MB / 52.7MB,1.8MB / 0B,10
2026-08-19T02:38:12.6391551+00:00,cortex-embedding-service-1,0.20%,586.3MiB / 3GiB,19.09%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:12.6391551+00:00,cortex-reranker-service-1,0.32%,1.227GiB / 7.605GiB,16.13%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:12.6391551+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:12.6391551+00:00,cortex-llm-gateway-1,0.22%,465.8MiB / 7.605GiB,5.98%,126kB / 15.7kB,269MB / 49.2kB,28
2026-08-19T02:38:12.6391551+00:00,cortex-redis-1,12.88%,31.86MiB / 7.605GiB,0.41%,39.2MB / 7.59MB,492MB / 46.2MB,8
